question_id,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,difficulty_level
Q0023,Addition,What is the value of 889 + 123 + 567?,1579,1479,1679,1569,1589,A,easy
Q0024,Addition,What is the value of 990 + 234 + 678?,1902,1802,1892,1912,2002,A,easy
Q0025,Addition,What is the value of 101 + 345 + 789?,1245,1335,1235,1225,1135,C,easy
Q0026,Addition,What is the value of 212 + 456 + 890?,1458,1548,1558,1658,1568,C,easy
Q0027,Addition,What is the value of 323 + 567 + 901?,1801,1691,1781,1791,1891,D,easy
Q0028,Addition,What is the value of 434 + 678 + 123?,1335,1245,1235,1135,1225,C,easy
Q0029,Addition,What is the value of 545 + 789 + 234?,1558,1568,1468,1668,1578,B,easy
Q0030,Addition,What is the value of 656 + 890 + 345?,1881,1891,1901,1791,1991,B,easy
Q0031,Addition,What is the value of 111 + 222 + 333?,566,676,766,656,666,E,easy
Q0032,Addition,What is the value of 222 + 333 + 444?,1099,899,1009,999,989,D,easy
Q0033,Addition,What is the value of 333 + 444 + 555?,1432,1332,1342,1232,1322,B,easy
Q0034,Addition,What is the value of 444 + 555 + 666?,1765,1675,1565,1665,1655,D,easy
Q0035,Addition,What is the value of 555 + 666 + 777?,1988,1898,2008,1998,2098,D,easy
Q0036,Addition,What is the value of 666 + 777 + 888?,2331,2231,2341,2321,2431,A,easy
Q0037,Addition,What is the value of 777 + 888 + 999?,2674,2564,2654,2764,2664,E,easy
Q0038,Addition,What is the value of 888 + 999 + 111?,2098,2008,1898,1998,1988,D,easy
Q0039,Addition,What is the value of 123 + 234 + 345?,602,702,712,692,802,B,easy
Q0040,Addition,What is the value of 234 + 345 + 456?,1035,1045,1135,1025,935,A,easy
Q0041,Addition,What is the value of 74 + 14?,88,87,98,78,89,A,easy
Q0042,Addition,What is the value of 22 + 71?,93,103,94,83,92,A,easy
Q0043,Addition,What is the value of 37 + 11?,58,49,48,47,38,C,easy
Q0044,Addition,What is the value of 13 + 99?,111,122,112,102,113,C,easy
Q0045,Addition,What is the value of 80 + 68?,147,148,158,138,149,B,easy
Q0046,Addition,What is the value of 98 + 60?,157,168,148,159,158,E,easy
Q0047,Addition,What is the value of 25 + 11?,46,36,37,26,35,B,easy
Q0048,Addition,What is the value of 42 + 18?,60,70,61,50,59,A,easy
Q0049,Addition,What is the value of 31 + 29?,50,61,59,60,70,D,easy
Q0050,Addition,What is the value of 56 + 44?,110,99,90,101,100,E,easy
Q0051,Addition,What is the value of 17 + 63?,70,80,81,90,79,B,easy
Q0052,Addition,What is the value of 48 + 32?,79,81,90,80,70,D,easy
Q0053,Addition,What is the value of 15 + 85?,110,90,99,101,100,E,easy
Q0054,Addition,What is the value of 72 + 28?,100,101,110,99,90,A,easy
Q0055,Addition,What is the value of 53 + 47?,100,99,101,110,90,A,easy
Q0056,Addition,What is the value of 479 + 141?,720,621,520,620,619,D,medium
Q0057,Addition,What is the value of 467 + 78?,544,545,645,445,546,B,medium
Q0058,Addition,What is the value of 354 + 74?,429,427,328,428,528,D,medium
Q0059,Addition,What is the value of 466 + 81?,546,447,647,548,547,E,medium
Q0060,Addition,What is the value of 429 + 191?,520,720,620,619,621,C,medium
Q0061,Addition,What is the value of 283 + 123?,506,405,407,406,306,D,medium
Q0062,Addition,What is the value of 482 + 128?,710,611,610,609,510,C,medium
Q0063,Addition,What is the value of 75 + 130?,206,204,105,205,305,D,medium
Q0064,Addition,What is the value of 233 + 191?,425,424,423,324,524,B,medium
Q0065,Addition,What is the value of 78 + 53?,131,31,231,132,130,A,medium
Q0066,Addition,What is the value of 64 + 57?,221,122,120,121,21,D,medium
Q0067,Addition,What is the value of 354 + 89?,442,443,343,543,444,B,medium
Q0068,Addition,What is the value of 267 + 145?,312,512,412,413,411,C,medium
Q0069,Addition,What is the value of 389 + 234?,723,623,622,624,523,B,medium
Q0070,Addition,What is the value of 512 + 167?,779,680,678,679,579,D,medium
Q0071,Addition,What is the value of 623 + 278?,801,901,1001,902,900,B,medium
Q0072,Addition,What is the value of 734 + 189?,922,923,823,1023,924,B,medium
Q0073,Addition,What is the value of 845 + 234?,1179,1080,979,1078,1079,E,medium
Q0074,Addition,What is the value of 456 + 345?,801,701,901,800,802,A,medium
Q0075,Addition,What is the value of 567 + 232?,799,899,699,798,800,A,medium
Q0076,Addition,What is the value of 678 + 121?,798,899,800,699,799,E,medium
Q0077,Addition,What is the value of 789 + 210?,899,1000,1099,999,998,D,medium
Q0078,Addition,What is the value of 890 + 109?,899,1099,1000,999,998,D,medium
Q0079,Addition,What is the value of 234 + 765?,998,1099,899,1000,999,E,medium
Q0080,Addition,What is the value of 41050 + 3035?,44095,45085,44085,44075,43085,C,hard
Q0081,Addition,What is the value of 76564 + 9766?,87330,85330,86320,86330,86340,D,hard
Q0082,Addition,What is the value of 82405 + 3102?,84507,85497,86507,85517,85507,E,hard
Q0083,Addition,What is the value of 6662 + 1481?,8133,8153,7143,8143,9143,D,hard
Q0084,Addition,What is the value of 36331 + 7797?,45128,44128,43128,44138,44118,B,hard
Q0085,Addition,What is the value of 62290 + 3512?,65812,65792,66802,65802,64802,D,hard
Q0086,Addition,What is the value of 42922 + 7497?,50419,50409,51419,50429,49419,A,hard
Q0087,Addition,What is the value of 74231 + 8456?,82697,81687,82687,82677,83687,C,hard
Q0088,Addition,What is the value of 53847 + 9123?,62970,63970,62980,62960,61970,A,hard
Q0089,Addition,What is the value of 67234 + 5891?,74125,72125,73125,73135,73115,C,hard
Q0090,Addition,What is the value of 81456 + 7234?,89690,88700,88690,88680,87690,C,hard
Q0091,Addition,What is the value of 92345 + 8123?,101468,99468,100468,100478,100458,C,hard
Q0092,Addition,What is the value of 73456 + 9234?,82700,82680,82690,83690,81690,C,hard
Q0093,Addition,What is the value of 84567 + 1234?,85801,86801,84801,85811,85791,A,hard
Q0094,Addition,What is the value of 95678 + 2345?,98023,99023,98013,98033,97023,A,hard
Q0095,Addition,What is the value of 26789 + 4456?,31235,31245,31255,30245,32245,B,hard
Q0096,Addition,What is the value of 37890 + 5567?,43457,44457,42457,43447,43467,A,hard
Q0097,Addition,What is the value of 48901 + 6678?,56579,55579,55569,54579,55589,B,hard
Q0098,Addition,What is the value of 59012 + 7789?,66791,65801,67801,66811,66801,E,hard
Q0099,Addition,What is the value of 70123 + 8890?,79023,79013,79003,80013,78013,B,hard
Q0100,Addition,What is the value of 81234 + 9901?,91145,90135,92135,91135,91125,D,hard
Q0101,Addition,What is the value of 92345 + 1012?,93347,92357,94357,93357,93367,D,hard
Q0102,Addition,What is the value of 13456 + 3223?,16669,16689,16679,17679,15679,C,hard
Q0103,Addition,What is the value of 24567 + 4334?,28901,27901,28891,29901,28911,A,hard
Q0104,Addition,What is the value of 35678 + 5445?,41113,40123,41133,41123,42123,D,hard
Q0105,Addition,What is the value of 46789 + 6556?,53335,53345,53355,52345,54345,B,hard
Q0106,Addition,What is the value of 57890 + 7667?,65557,64557,65547,66557,65567,A,hard
Q0107,Addition,What is the value of 68901 + 8778?,78679,76679,77689,77669,77679,E,hard
Q0108,Addition,What is the value of 79012 + 9889?,88891,87901,88901,89901,88911,C,hard
Q0109,Addition,What is the value of 80123 + 1000?,80123,81113,82123,81123,81133,D,hard
Q0110,Addition,What is the value of 91234 + 2111?,94345,92345,93345,93335,93355,C,hard
Q0111,Addition,What is the value of 12345 + 3222?,15557,15577,16567,15567,14567,D,hard
Q0112,Addition,What is the value of 23456 + 4333?,28789,27789,27779,27799,26789,B,hard
Q0113,Addition,What is the value of 34567 + 5444?,41011,40011,40021,40001,39011,B,hard
Q0114,Addition,What is the value of 45678 + 6555?,51233,53233,52233,52243,52223,C,hard
Q0115,Addition,What is the value of 56789 + 7666?,64445,65455,64455,63455,64465,C,hard
Q0116,Addition,What is the value of 67890 + 8777?,77667,76667,76657,75667,76677,B,hard
Q0117,Addition,What is the value of 78901 + 9888?,88789,88779,88799,87789,89789,A,hard
Q0118,Addition,What is the value of 89012 + 1999?,91021,90011,91011,92011,91001,C,hard
Q0119,Addition,What is the value of 90123 + 2888?,93011,93021,93001,94011,92011,A,hard
Q0120,Subtraction,What is the value of 500 - 123?,367,387,378,377,376,D,easy
Q0121,Subtraction,What is the value of 600 - 234?,367,356,365,366,376,D,easy
Q0122,Subtraction,What is the value of 700 - 345?,345,354,355,365,356,C,easy
Q0123,Subtraction,What is the value of 800 - 456?,344,343,345,354,334,A,easy
Q0124,Subtraction,What is the value of 900 - 567?,333,332,334,343,323,A,easy
Q0125,Subtraction,What is the value of 999 - 678?,322,320,311,331,321,E,easy
Q0126,Subtraction,What is the value of 888 - 456?,422,433,432,442,431,C,easy
Q0127,Subtraction,What is the value of 777 - 345?,431,422,442,433,432,E,easy
Q0128,Subtraction,What is the value of 666 - 234?,422,442,432,431,433,C,easy
Q0129,Subtraction,What is the value of 555 - 123?,431,422,432,433,442,C,easy
Q0130,Subtraction,What is the value of 444 - 111?,323,343,332,334,333,E,easy
Q0131,Subtraction,What is the value of 333 - 222?,110,111,101,112,121,B,easy
Q0132,Subtraction,What is the value of 456 - 150?,296,316,305,307,306,E,easy
Q0133,Subtraction,What is the value of 567 - 260?,308,307,306,297,317,B,easy
Q0134,Subtraction,What is the value of 678 - 370?,318,309,298,307,308,E,easy
Q0135,Subtraction,What is the value of 789 - 480?,310,299,308,309,319,D,easy
Q0136,Subtraction,What is the value of 890 - 590?,299,310,300,290,301,C,easy
Q0137,Subtraction,What is the value of 987 - 680?,317,297,307,308,306,C,easy
Q0138,Subtraction,What is the value of 876 - 570?,305,316,307,306,296,D,easy
Q0139,Subtraction,What is the value of 765 - 460?,315,306,295,305,304,D,easy
Q0140,Subtraction,What is the value of 654 - 350?,314,304,305,303,294,B,easy
Q0141,Subtraction,What is the value of 543 - 240?,304,303,313,293,302,B,easy
Q0142,Subtraction,What is the value of 432 - 130?,302,301,303,312,292,A,easy
Q0143,Subtraction,What is the value of 321 - 109?,213,212,202,222,211,B,easy
Q0144,Subtraction,What is the value of 210 - 98?,122,113,112,102,111,C,easy
Q0145,Subtraction,What is the value of 198 - 67?,130,131,141,121,132,B,easy
Q0146,Subtraction,What is the value of 187 - 56?,130,131,132,141,121,B,easy
Q0147,Subtraction,What is the value of 176 - 45?,132,131,130,141,121,B,easy
Q0148,Subtraction,What is the value of 165 - 34?,130,131,121,141,132,B,easy
Q0149,Subtraction,What is the value of 154 - 23?,121,130,141,131,132,D,easy
Q0150,Subtraction,What is the value of 143 - 12?,121,141,130,132,131,E,easy
Q0151,Subtraction,What is the value of 132 - 11?,111,122,121,120,131,C,easy
Q0152,Subtraction,What is the value of 121 - 10?,121,110,112,111,101,D,easy
Q0153,Subtraction,What is the value of 110 - 9?,101,100,102,111,91,A,easy
Q0154,Subtraction,What is the value of 99 - 8?,91,90,101,92,81,A,easy
Q0155,Subtraction,What is the value of 1234 - 567?,567,668,667,666,767,C,medium
Q0156,Subtraction,What is the value of 2345 - 678?,1668,1666,1667,1567,1767,C,medium
Q0157,Subtraction,What is the value of 3456 - 789?,2567,2666,2667,2668,2767,C,medium
Q0158,Subtraction,What is the value of 4567 - 890?,3777,3577,3677,3678,3676,C,medium
Q0159,Subtraction,What is the value of 5678 - 901?,4777,4776,4778,4677,4877,A,medium
Q0160,Subtraction,What is the value of 6789 - 1012?,5677,5877,5776,5777,5778,D,medium
Q0161,Subtraction,What is the value of 7890 - 1123?,6766,6667,6867,6767,6768,D,medium
Q0162,Subtraction,What is the value of 8901 - 2234?,6667,6767,6668,6666,6567,A,medium
Q0163,Subtraction,What is the value of 9012 - 3345?,5666,5667,5668,5767,5567,B,medium
Q0164,Subtraction,What is the value of 1023 - 456?,567,667,568,467,566,A,medium
Q0165,Subtraction,What is the value of 2134 - 567?,1567,1566,1467,1667,1568,A,medium
Q0166,Subtraction,What is the value of 3245 - 678?,2467,2568,2667,2566,2567,E,medium
Q0167,Subtraction,What is the value of 4356 - 789?,3467,3566,3568,3567,3667,D,medium
Q0168,Subtraction,What is the value of 5467 - 890?,4477,4578,4577,4677,4576,C,medium
Q0169,Subtraction,What is the value of 6578 - 901?,5777,5676,5677,5577,5678,C,medium
Q0170,Subtraction,What is the value of 7689 - 1012?,6677,6676,6577,6777,6678,A,medium
Q0171,Subtraction,What is the value of 8790 - 1123?,7668,7667,7767,7666,7567,B,medium
Q0172,Subtraction,What is the value of 9801 - 2234?,7566,7568,7567,7667,7467,C,medium
Q0173,Subtraction,What is the value of 1912 - 345?,1568,1667,1566,1467,1567,E,medium
Q0174,Subtraction,What is the value of 2023 - 456?,1667,1568,1467,1567,1566,D,medium
Q0175,Subtraction,What is the value of 3134 - 567?,2667,2568,2467,2567,2566,D,medium
Q0176,Subtraction,What is the value of 4245 - 678?,3566,3467,3667,3568,3567,E,medium
Q0177,Subtraction,What is the value of 5356 - 789?,4567,4467,4568,4566,4667,A,medium
Q0178,Subtraction,What is the value of 6467 - 890?,5677,5578,5577,5477,5576,C,medium
Q0179,Subtraction,What is the value of 7578 - 901?,6677,6577,6676,6777,6678,A,medium
Q0180,Subtraction,What is the value of 8689 - 1012?,7577,7676,7678,7777,7677,E,medium
Q0181,Subtraction,What is the value of 9790 - 1123?,8567,8667,8666,8767,8668,B,medium
Q0182,Subtraction,What is the value of 1801 - 234?,1568,1667,1567,1566,1467,C,medium
Q0183,Subtraction,What is the value of 2912 - 345?,2467,2667,2568,2566,2567,E,medium
Q0184,Subtraction,What is the value of 3023 - 456?,2566,2567,2467,2568,2667,B,medium
Q0185,Subtraction,What is the value of 5000 - 1234?,3767,3766,3866,3765,3666,B,hard
Q0186,Subtraction,What is the value of 6000 - 2345?,3755,3655,3656,3555,3654,B,hard
Q0187,Subtraction,What is the value of 7000 - 3456?,3545,3444,3544,3644,3543,C,hard
Q0188,Subtraction,What is the value of 8000 - 4567?,3533,3434,3333,3432,3433,E,hard
Q0189,Subtraction,What is the value of 9000 - 5678?,3422,3323,3322,3321,3222,C,hard
Q0190,Subtraction,What is the value of 9999 - 6789?,3210,3110,3310,3209,3211,A,hard
Q0191,Subtraction,What is the value of 8888 - 4567?,4421,4321,4322,4320,4221,B,hard
Q0192,Subtraction,What is the value of 7777 - 3456?,4221,4322,4321,4320,4421,C,hard
Q0193,Subtraction,What is the value of 6666 - 2345?,4421,4321,4320,4322,4221,B,hard
Q0194,Subtraction,What is the value of 5555 - 1234?,4320,4221,4321,4322,4421,C,hard
Q0195,Subtraction,What is the value of 4567 - 1500?,3067,3068,3066,3167,2967,A,hard
Q0196,Subtraction,What is the value of 5678 - 2600?,3077,3079,3178,3078,2978,D,hard
Q0197,Subtraction,What is the value of 6789 - 3700?,3088,2989,3089,3189,3090,C,hard
Q0198,Subtraction,What is the value of 7890 - 4800?,2990,3090,3089,3091,3190,B,hard
Q0199,Subtraction,What is the value of 8901 - 5900?,3000,3101,3002,2901,3001,E,hard
Q0200,Subtraction,What is the value of 9876 - 6800?,3075,3176,3076,3077,2976,C,hard
Q0201,Subtraction,What is the value of 8765 - 5700?,3065,3165,3066,3064,2965,A,hard
Q0202,Subtraction,What is the value of 7654 - 4600?,3053,3055,2954,3054,3154,D,hard
Q0203,Subtraction,What is the value of 6543 - 3500?,3143,3043,2943,3042,3044,B,hard
Q0204,Subtraction,What is the value of 5432 - 2400?,3032,3132,3031,3033,2932,A,hard
Q0205,Subtraction,What is the value of 9001 - 4567?,4534,4433,4334,4434,4435,D,hard
Q0206,Subtraction,What is the value of 8001 - 3456?,4544,4546,4645,4445,4545,E,hard
Q0207,Subtraction,What is the value of 7001 - 2345?,4556,4656,4657,4655,4756,B,hard
Q0208,Subtraction,What is the value of 6001 - 1234?,4766,4768,4767,4667,4867,C,hard
Q0209,Subtraction,What is the value of 5001 - 1111?,3889,3891,3790,3990,3890,E,hard
Q0210,Subtraction,What is the value of 9500 - 4321?,5279,5178,5180,5179,5079,D,hard
Q0211,Subtraction,What is the value of 8500 - 3210?,5289,5290,5390,5190,5291,B,hard
Q0212,Subtraction,What is the value of 7500 - 2109?,5390,5291,5392,5391,5491,D,hard
Q0213,Subtraction,What is the value of 6500 - 1098?,5502,5403,5402,5302,5401,C,hard
Q0214,Subtraction,What is the value of 5500 - 4321?,1178,1079,1279,1180,1179,E,hard
Q0215,Subtraction,What is the value of 9750 - 5678?,4073,4172,4071,3972,4072,E,hard
Q0216,Subtraction,What is the value of 8750 - 4567?,4182,4283,4184,4083,4183,E,hard
Q0217,Subtraction,What is the value of 7750 - 3456?,4295,4294,4293,4394,4194,B,hard
Q0218,Subtraction,What is the value of 6750 - 2345?,4404,4405,4406,4505,4305,B,hard
Q0219,Subtraction,What is the value of 5750 - 1234?,4517,4616,4516,4416,4515,C,hard
Q0220,Subtraction,What is the value of 9250 - 4321?,4829,4930,4929,4928,5029,C,hard
Q0221,Subtraction,What is the value of 8250 - 3210?,5140,5039,4940,5041,5040,E,hard
Q0222,Subtraction,What is the value of 7250 - 2109?,5241,5142,5140,5141,5041,D,hard
Q0223,Subtraction,What is the value of 6250 - 1098?,5151,5153,5252,5052,5152,E,hard
Q0224,Subtraction,What is the value of 5250 - 4321?,829,928,929,1029,930,C,hard
Q0225,Multiplication,What is the value of 13 x 14?,202,184,182,162,180,C,easy
Q0226,Multiplication,What is the value of 15 x 16?,240,220,260,238,242,A,easy
Q0227,Multiplication,What is the value of 17 x 18?,306,286,326,304,308,A,easy
Q0228,Multiplication,What is the value of 19 x 20?,382,380,360,400,378,B,easy
Q0229,Multiplication,What is the value of 21 x 22?,464,442,460,482,462,E,easy
Q0230,Multiplication,What is the value of 23 x 24?,550,554,572,532,552,E,easy
Q0231,Multiplication,What is the value of 25 x 26?,650,648,670,630,652,A,easy
Q0232,Multiplication,What is the value of 27 x 28?,776,754,756,758,736,C,easy
Q0233,Multiplication,What is the value of 29 x 30?,890,850,872,868,870,E,easy
Q0234,Multiplication,What is the value of 31 x 32?,972,1012,990,992,994,D,easy
Q0235,Multiplication,What is the value of 14 x 15?,212,190,210,230,208,C,easy
Q0236,Multiplication,What is the value of 16 x 17?,252,292,270,272,274,D,easy
Q0237,Multiplication,What is the value of 18 x 19?,362,342,340,344,322,B,easy
Q0238,Multiplication,What is the value of 20 x 21?,440,418,420,400,422,C,easy
Q0239,Multiplication,What is the value of 22 x 23?,508,504,506,526,486,C,easy
Q0240,Multiplication,What is the value of 24 x 25?,620,600,598,602,580,B,easy
Q0241,Multiplication,What is the value of 26 x 27?,682,704,700,722,702,E,easy
Q0242,Multiplication,What is the value of 28 x 29?,832,814,812,810,792,C,easy
Q0243,Multiplication,What is the value of 30 x 31?,932,928,910,950,930,E,easy
Q0244,Multiplication,What is the value of 32 x 33?,1036,1076,1056,1054,1058,C,easy
Q0245,Multiplication,What is the value of 33 x 34?,1120,1102,1124,1142,1122,E,easy
Q0246,Multiplication,What is the value of 35 x 36?,1258,1240,1280,1262,1260,E,easy
Q0247,Multiplication,What is the value of 37 x 38?,1386,1406,1426,1408,1404,B,easy
Q0248,Multiplication,What is the value of 39 x 40?,1562,1558,1560,1580,1540,C,easy
Q0249,Multiplication,What is the value of 41 x 42?,1722,1720,1742,1724,1702,A,easy
Q0250,Multiplication,What is the value of 43 x 44?,1894,1892,1912,1872,1890,B,easy
Q0251,Multiplication,What is the value of 45 x 46?,2068,2090,2072,2070,2050,D,easy
Q0252,Multiplication,What is the value of 47 x 48?,2258,2276,2254,2256,2236,D,easy
Q0253,Multiplication,What is the value of 49 x 50?,2430,2450,2452,2470,2448,B,easy
Q0254,Multiplication,What is the value of 51 x 52?,2654,2632,2652,2672,2650,C,easy
Q0255,Multiplication,What is the value of 53 x 54?,2882,2842,2864,2860,2862,E,easy
Q0256,Multiplication,What is the value of 55 x 56?,3082,3060,3078,3100,3080,E,easy
Q0257,Multiplication,What is the value of 57 x 58?,3326,3308,3304,3306,3286,D,easy
Q0258,Multiplication,What is the value of 59 x 60?,3560,3540,3538,3542,3520,B,easy
Q0259,Multiplication,What is the value of 61 x 62?,3780,3782,3784,3802,3762,B,easy
Q0260,Multiplication,What is the value of 123 x 4?,592,392,615,369,492,E,medium
Q0261,Multiplication,What is the value of 234 x 5?,1170,1070,936,1404,1270,A,medium
Q0262,Multiplication,What is the value of 345 x 6?,2070,1725,2415,1970,2170,A,medium
Q0263,Multiplication,What is the value of 456 x 7?,3648,3092,3192,3292,2736,C,medium
Q0264,Multiplication,What is the value of 567 x 8?,4636,3969,4436,5103,4536,E,medium
Q0265,Multiplication,What is the value of 678 x 9?,6002,6780,5424,6202,6102,E,medium
Q0266,Multiplication,What is the value of 789 x 11?,8779,7890,9468,8579,8679,E,medium
Q0267,Multiplication,What is the value of 890 x 12?,10780,10580,10680,9790,11570,C,medium
Q0268,Multiplication,What is the value of 901 x 13?,12614,11813,11613,10812,11713,E,medium
Q0269,Multiplication,What is the value of 112 x 14?,1568,1468,1456,1668,1680,A,medium
Q0270,Multiplication,What is the value of 124 x 15?,1860,1760,1960,1984,1736,A,medium
Q0271,Multiplication,What is the value of 235 x 16?,3760,3525,3995,3860,3660,A,medium
Q0272,Multiplication,What is the value of 346 x 17?,6228,5536,5982,5782,5882,E,medium
Q0273,Multiplication,What is the value of 457 x 18?,8226,8683,8126,8326,7769,A,medium
Q0274,Multiplication,What is the value of 568 x 19?,10692,10792,11360,10892,10224,B,medium
Q0275,Multiplication,What is the value of 679 x 21?,14259,14938,14359,13580,14159,A,medium
Q0276,Multiplication,What is the value of 780 x 22?,17940,17060,17260,17160,16380,D,medium
Q0277,Multiplication,What is the value of 891 x 23?,19602,20393,20593,21384,20493,E,medium
Q0278,Multiplication,What is the value of 902 x 24?,21748,21648,20746,22550,21548,B,medium
Q0279,Multiplication,What is the value of 113 x 25?,2825,2712,2938,2925,2725,A,medium
Q0280,Multiplication,What is the value of 125 x 26?,3125,3375,3350,3250,3150,D,medium
Q0281,Multiplication,What is the value of 236 x 27?,6608,6472,6136,6272,6372,E,medium
Q0282,Multiplication,What is the value of 347 x 28?,9616,9369,9816,9716,10063,D,medium
Q0283,Multiplication,What is the value of 458 x 29?,12824,13182,13282,13382,13740,C,medium
Q0284,Multiplication,What is the value of 569 x 31?,17070,17639,17539,17739,18208,B,medium
Q0285,Multiplication,What is the value of 670 x 32?,21540,21440,22110,21340,20770,B,medium
Q0286,Multiplication,What is the value of 781 x 33?,24992,26554,25673,25873,25773,E,medium
Q0287,Multiplication,What is the value of 892 x 34?,30328,30228,29436,30428,31220,A,medium
Q0288,Multiplication,What is the value of 903 x 35?,31505,31705,30702,32508,31605,E,medium
Q0289,Multiplication,What is the value of 114 x 36?,3990,4104,4218,4204,4004,B,medium
Q0290,Multiplication,What is the value of 126 x 37?,4562,4762,4788,4662,4536,D,medium
Q0291,Multiplication,What is the value of 237 x 38?,8769,9006,8906,9243,9106,B,medium
Q0292,Multiplication,What is the value of 348 x 39?,13472,13572,13920,13672,13224,B,medium
Q0293,Multiplication,What is the value of 459 x 41?,19278,18919,18719,18360,18819,E,medium
Q0294,Multiplication,What is the value of 570 x 42?,23940,23370,24510,23840,24040,A,medium
Q0295,Multiplication,What is the value of 671 x 43?,29524,28753,28182,28953,28853,E,medium
Q0296,Multiplication,What is the value of 782 x 44?,34408,34508,34308,35190,33626,A,medium
Q0297,Multiplication,What is the value of 893 x 45?,39292,41078,40085,40285,40185,E,medium
Q0298,Multiplication,What is the value of 904 x 46?,40680,41484,41684,42488,41584,E,medium
Q0299,Multiplication,What is the value of 115 x 47?,5505,5290,5520,5305,5405,E,medium
Q0300,Multiplication,What is the value of 1234 x 5?,7404,5170,7170,6170,4936,D,hard
Q0301,Multiplication,What is the value of 2345 x 6?,16415,14070,13070,15070,11725,B,hard
Q0302,Multiplication,What is the value of 3456 x 7?,25192,23192,20736,27648,24192,E,hard
Q0303,Multiplication,What is the value of 4567 x 8?,31969,35536,36536,41103,37536,C,hard
Q0304,Multiplication,What is the value of 5678 x 9?,50102,51102,52102,45424,56780,B,hard
Q0305,Multiplication,What is the value of 6789 x 11?,75679,73679,67890,74679,81468,D,hard
Q0306,Multiplication,What is the value of 7890 x 12?,94680,86790,102570,93680,95680,A,hard
Q0307,Multiplication,What is the value of 8901 x 13?,124614,114713,116713,115713,106812,D,hard
Q0308,Multiplication,What is the value of 9012 x 14?,126168,117156,127168,135180,125168,A,hard
Q0309,Multiplication,What is the value of 1123 x 15?,15845,16845,17845,17968,15722,B,hard
Q0310,Multiplication,What is the value of 2234 x 16?,37978,35744,34744,33510,36744,B,hard
Q0311,Multiplication,What is the value of 3345 x 17?,53520,56865,60210,55865,57865,B,hard
Q0312,Multiplication,What is the value of 4456 x 18?,80208,84664,75752,81208,79208,A,hard
Q0313,Multiplication,What is the value of 5567 x 19?,104773,111340,106773,105773,100206,D,hard
Q0314,Multiplication,What is the value of 6678 x 21?,139238,141238,146916,133560,140238,E,hard
Q0315,Multiplication,What is the value of 7789 x 22?,171358,172358,179147,170358,163569,A,hard
Q0316,Multiplication,What is the value of 8890 x 23?,195580,204470,213360,203470,205470,B,hard
Q0317,Multiplication,What is the value of 9901 x 24?,236624,247525,227723,238624,237624,E,hard
Q0318,Multiplication,What is the value of 1012 x 25?,24288,26300,25300,24300,26312,C,hard
Q0319,Multiplication,What is the value of 2123 x 26?,54198,53075,55198,57321,56198,C,hard
Q0320,Multiplication,What is the value of 3234 x 27?,84084,88318,90552,86318,87318,E,hard
Q0321,Multiplication,What is the value of 4345 x 28?,117315,120660,126005,121660,122660,D,hard
Q0322,Multiplication,What is the value of 5456 x 29?,163680,157224,159224,152768,158224,E,hard
Q0323,Multiplication,What is the value of 6567 x 31?,202577,204577,203577,210144,197010,C,hard
